"V"
"가공"
"가교"
"가니시"
"가단주철"
"가도식"
"가동"
"가동식"
"가드"
"가로"
"가로놓기형"
"가로축"
"가변"
"가변식"
"가변저항기"
"가사"
"가소올"
"가소제"
"가속"
"가속도"
"가속도계"
"가속페달"
"가솔린"
"가스"
"가스봄베"
"가스식"
"가스절단"
"가스터빈"
"가시광"
"가시광선"
"가압력"
"가압식"
"가압판"
"가역식"
"가연"
"가연성"
"가열"
"가열되는"
"가열로"
"가열식"
"가용접"
"가우징"
"가위"
"가융"
"가이드"
"가주성"
"가죽"
"가청주파수"
"각"
"각도"
"각속도"
"간격"
"간극"
"간섭"
"간섭각"
"간이형"
"간접"
"간헐"
"감각"
"감광식"
"감기식"
"감도"
"감마선"
"감소"
"감속"
"감속비"
"감속식"
"감쇠"
"감쇠기"
"감쇠력"
"감쇠진동"
"감수성"
"감압"
"감압기"
"감압실"
"감열"
"감온"
"감응식"
"감응형"
"감자"
"감지"
"감지기"
"감지식"
"감청"
"갑압"
"강"
"강도"
"강류식"
"강복"
"강성"
"강인강"
"강자성"
"강자성체"
"강제"
"강제력"
"강제진동"
"강철"
"강판"
"강하"
"강하제"
"강한"
"강화"
"개라지"
"개로"
"개방"
"개방형"
"개선"
"개스킷"
"개시"
"개요"
"개재물"
"개조"
"개조형"
"개폐"
"개폐기"
"객실"
"갤러리"
"갭"
"갱"
"갱생"
"거리"
"거리계"
"거버너"
"거싯플레이트"
"거주성"
"거즈"
"거즐러"
"거칠기"
"거터"
"거품"
"건"
"건메탈"
"건설용"
"건식"
"건전지"
"건조"
"건조기"
"건조제"
"걸윙"
"검사"
"검사증"
"검지"
"검출"
"검출기"
"검출형"
"게이지"
"게이트"
"게인"
"게트라그사"
"겨울용"
"격납"
"격납식"
"격리체"
"격자"
"견인"
"견인력"
"결선"
"결정격자"
"결핍"
"결함"
"결합재"
"겹치기"
"경"
"경계"
"경계부"
"경계층"
"경고"
"경고등"
"경금속"
"경납땜"
"경도"
"경랍"
"경보"
"경사"
"경사각"
"경사계"
"경사형"
"경유"
"경음기"
"경제"
"경제속도"
"경질"
"경합금"
"경향"
"경화"
"경화법"
"경화제"
"계기"
"계기등"
"계기판"
"계단"
"계량"
"계수"
"계자"
"계전기"
"계철"
"계통"
"고강성"
"고광택"
"고급"
"고도"
"고도계"
"고든"
"고리"
"고무"
"고발열량"
"고분자"
"고분자계"
"고상"
"고선영성"
"고셀룰로오스계"
"고속"
"고속도강"
"고압"
"고에너지"
"고열선"
"고온"
"고용체"
"고위"
"고유"
"고율"
"고장"
"고장력"
"고장력강"
"고저항"
"고전압"
"고정"
"고정나사"
"고정식"
"고정자"
"고정축"
"고정형"
"고주파"
"고지"
"고착"
"고체"
"고체형"
"고탄소강"
"고합금강"
"고회전형"
"곡률"
"곡면"
"곡선"
"공간"
"공구"
"공구대"
"공급"
"공기"
"공기량"
"공기식"
"공기실식"
"공기압"
"공기압축기"
"공기역학"
"공기역학적특성"
"공기탱크"
"공기필터"
"공동"
"공동식"
"공랭"
"공랭식"
"공력"
"공명"
"공명기"
"공법"
"공색"
"공석"
"공석강"
"공압"
"공업"
"공연비"
"공전"
